分類,職種,事業所名,都道府県,産業分類,就業場所,賃金下限,賃金上限,未経験可,運転免許必須,経験,免許資格,PCスキル,学歴,仕事内容,特記事項,出典ファイル,頁
メンテナンス・アフターサービス・点検,リフォーム・メンテナンス,ニシコウフジュウタクカブシキガイシャ 西甲府住宅株式会社,山梨,建築工事業（木造建築工事,〒400-0856 山梨県甲府市伊勢４－２２－１ 西甲府住宅株式会社 ＪＲ身延線甲斐住吉駅から徒歩10分,230000,350000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,,,【リフォーム・メンテナンス部でのお仕事】 リフォームやメンテナンスの依頼があれば、お客様先に行き対応を していただきます。 経験者大歓迎！ ※Ｕターン、Ｉターン希望の方の応募、歓迎します。 【変更範囲：会社の定める範囲】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,20
施工管理・現場監督（工務）,リフォーム現場監督,リクシルフドウサンショップ（カブシキガイシャプライムホーム） リクシル不動産ショップ（株式会社プライムホーム）,山梨,建物売買業，土地売買業,〒400-0047 山梨県甲府市徳行３丁目４－２４ ＪＲ甲府駅から車13分,260000,350000,True,True,必要な経験・知識・技能等不問,一級建築士あれば尚可 二級建築士あれば尚可 １級建築施工管理技士あれば尚可 普通自動車運転免許必須 （AT限定可）,,,自社リフォーム現場の管理・監督業務 ・施主との打ち合わせ、簡単なパソコン作業あり。 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【オンライン自主応募可】 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,21
施工管理・現場監督（工務）,住宅建築の施工管理及び現場管理［美術館通り店］,ユウゲンガイシャエンドウコウムテン 有限会社エンドウ工務店,山梨,木造建築工事業,〒400-0065 山梨県甲府市貢川２－５－４５ 有限会社エンドウ工務所美術館通り店 ＪＲ中央本線竜王駅から車5分,250000,450000,False,True,必要な経験・知識・技能等あれば尚可 業者や地域住民との折衝能力や、工程を進行させていくうえでの人 事管理能力も必要。コミュニケーション能力やリーダーシップが得 意な方であれば尚可。,一級建築士あれば尚可 二級建築士あれば尚可 １級建築施工管理技士あれば尚可 ２級建築施工管理技士あれば尚可 普通自動車運転免許必須 （AT限定可）,,,○住宅建築の施工管理及び書類作成全般 ○現場管理 「管理だけで終わらないのが、当社の現場監督。自ら現場に入るこ ともあるため、相応の筋力・体力も重要なスキルとなります。タフ にそして情熱を持って家づくりに向き合える仲間を募集します。」 ☆トライアル雇用求人 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ◆トライアル雇用期間中の労働条件は試用期間に同じ 採用申込は、ホームページからも受け付けております。 ｈｔｔｐ：／／ｗｗｗ．ｉｅーｅｎｄｏ．ｃｏ．ｊｐ／ｒｅｃｒｕ ｉｔ／ より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,22
住宅・リフォーム営業（提案営業）,住宅コンサルタント,カブシキガイシャパナホームヤマナシ 株式会社パナホーム山梨,山梨,建築工事業（木造建築工事,〒400-0041 山梨県甲府市上石田４－１２－１ 株式会社パナホーム山梨 ＪＲ甲府駅から車12分,257000,310000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,,,軽量鉄骨の住宅・アパート・リフォーム等の相談受付、間取り、 資金・税金相談、企画販売の仕事です。 ※男女共に活躍できる職場です 【変更範囲：会社の定める業務】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＜駐車場について＞ マイカー通勤者は、当社で契約している駐車場を利用可 （但し料金は自己負担） 【オンライン自主応募可】 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,23
設計・ＣＡＤオペレーター,住宅設計／未経験者歓迎,カブシキガイシャハウジングケント 株式会社ハウジング建都,山梨,一般土木建築工事業,〒400-0117 山梨県甲斐市西八幡１８６４－１プラザエイトＡＢ 株式会社ハウジング建都きらくハウス事業部甲斐支店 ＪＲ中央線竜王駅から車5分,239000,450000,False,True,必要な経験・知識・技能等あれば尚可 住宅設計業務,一級建築士あれば尚可 二級建築士あれば尚可 普通自動車運転免許必須 （AT限定可）,エクセル・ワード・３ＤーＣＡＤの基本操作。,,○住宅設計の業務を行います。 ＊お客様と仕様合わせ業務、ＣＡＤで住宅設計図面の作成、確認 申請業務等を行います。 ＊パソコン（エクセル・ワード・３Ｄ－ＣＡＤ）を使用します。 （簡単な操作ができれば可） ＊未経験の方、先輩職員が丁寧にご指導しますのでご安心して応募 ください。 ＊社用車（ＡＴ車）の運転があります。 変更範囲：会社の定める業務 ≪急募≫ ●応募にはハローワークの紹介状が必要です● 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊通勤手当：通勤距離数（事業所規定）により支給します。 ＊住宅設計経験者は、賃金の月額は３００，０００円からになりま す。 ＊固定残業代（Ｃ）欄に記載された時間数は固定残業代の積算根拠 となるもの。実際の時間外労働の時間数の見込みや実績を示すも のではない。 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,24
設備工事（配管・電気・住宅設備）,住宅設備機器・上下水道資材のルート営業,カブシキガイシャカンザイ 株式会社環財,山梨,建築材料卸売業,〒406-0801 山梨県笛吹市御坂町成田１８３６ ＪＲ中央線石和温泉駅から車10分,240000,260000,True,True,必要な経験・知識・技能等不問,日本語検定２級必須 普通自動車運転免許必須 （AT限定可）,ワード、エクセル等パソコンの基本的な操作,,工務店及び設備工事業者等、既存顧客へのルート営業・配達が主体 となります。 ・営業エリアは県内が中心となります（主に笛吹市、山梨市、甲州 市、南アルプス市、甲府市）。 ・社有車を使用していただきます。 ※慣れるまでは先輩がサポートにつくので、未経験の方でも安心し てご応募下さい。 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・土日祝日休み ・社内研修あり ・未経験者歓迎 ・髪色自由 ・制服貸与 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,25
配送・ドライバー,住宅建材販売・加工・配達＊急募,コイズミトーヨージュウキカブシキガイシャ 小泉トーヨー住器株式会社,山梨,他に分類されない小売業,〒401-0301 山梨県南都留郡富士河口湖町船津６８０ 富士急行線河口湖駅から徒歩15分,240100,305200,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定不可）,,,住宅用建材の組立・加工・配達 （アルミサッシ・ガラス・住宅内装建材） ※販売・加工・配達の全ての業務を行っていただきます。 ※重い物を運んだり、体力が必要です。 ※急募※ 変更範囲：会社が定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ※有給休暇の取得を推奨しています ※Ｃ欄に記載された時間数は固定残業代の積算根拠となるものです 実際の時間外労働の時間の見込みや実績を示すものではありませ ん ※通常の作業を大幅に超える受注が集中したとき、緊急な受注また は納期がひっ迫した時および決算業務、トラブルの対応の時、年 ６回を上限として月８０時間まで、年７２０時間まで ハローワークからの連絡後、応募書類を郵送して下さい。 追って面接日等の連絡を致します。 【事業主・求職者の皆様へ】労働条件通知書や労働契約書等書面に より採用後の労働条件を必ず確認して下さい。 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,26
製造・加工（プレカット／建材）,住宅用ロックの加工・組立・検査ハーネス加工等,,山梨,洋食器・刃物・手道具・金,〒 山梨県南アルプス市,200000,300000,True,False,必要な経験・知識・技能等不問,普通自動車運転免許あれば尚可（AT限定可）,,,・住宅用錠製品の加工、組立、検査等 ・ハーネス加工、検査等 ※未経験者でも丁寧に指導致しますのでご安心ください。 製造業未経験から始めて、５年以上勤務されている方が多く、 個人の生活スタイルに合わせた働きやすい環境を整えております 。 長期的に安定した仕事をお探しの方は是非ご応募ください。 【変更の範囲：なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ※色々な製品の加工・組立・検査等があります。 一人一人の適性に合った配置にいたしますので 製造業未経験の方も是非ともご応募ください。 ※事前に履歴書とハローワークの紹介状を送付してください。 追って面接日時を電話連絡いたします。 【オンライン自主応募可】 ※オンライン自主応募の場合、ハローワーク紹介状は不要です。 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,28
住宅・リフォーム営業（提案営業）,注文住宅営業／経験者（サイエンスホーム甲府店）,サイエンスホームコウフテン（カブシキガイシャエヌハウス） サイエンスホーム甲府店（株式会社エヌハウス）,山梨,木造建築工事業,〒400-0851 山梨県甲府市住吉５丁目７番１０号,313000,375000,False,True,必要な経験・知識・技能等必須 住宅営業の経験者を募集します。,普通自動車運転免許必須 （AT限定可）,基本的なパソコンスキルがあると尚可。,,サイエンスホーム甲府店にて、注文住宅の営業を担当していただき ます。（展示場あり。） 甲府市住吉に新社屋をオープンしました。綺麗でおしゃれな環境で す。業務拡大につき募集します。 新規開拓営業はありますが、飛び込み営業はありません。 ※賃金は経験により対応いたします。 ※急募 【変更範囲：会社の定める業務】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【応募連絡は担当者の携帯へお願いします】 サイエンスホームは静岡県に本社があります。加盟店は全国に １１９社あり、エヌハウスは甲府店として加盟しています。 ※昇給：個人差あり ※賞与：営業の場合は、賞与はありませんが、歩合給があります。 ※有給休暇の計画的付与として年末年始に有給休暇の一部を充てて います。 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,34
住宅・リフォーム営業（提案営業）,リフォーム専門スタッフ（富士桜高原別荘地の専門スタッフ）,フジカンコウカイハツカブシキガイシャ 富士観光開発株式会社,山梨,スポーツ施設提供業,〒401-0320 山梨県南都留郡鳴沢村字富士山８５４５—１３７ 富士桜高原別荘地,210000,379600,False,True,必要な経験・知識・技能等必須 建築設計の経験,・建築士、施工管理技士などの資格を生かせます。 普通自動車運転免許必須 （AT限定可）,,,別荘地内のリフォームの専門スタッフとして、主には別荘オーナー 様の対応で活躍いただきます。 資格等は不問ですので未経験の方でも活躍できます。 ○主な仕事 ・リフォーム営業 ・建築物の現場管理、各種申請 ・建物の設計、積算見積書の作成 ※６０歳以降で活躍を希望される方につきましては、担当者までお 気軽にご相談ください。 【応募前職場見学可】 変更範囲：会社が定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ハローワークからの問い合わせ後、応募書類を下記宛に郵送して下 さい。追って面接日等の連絡をさせて頂きます。 ≪応募書類送付先≫ 〒４０１－０３０１ 山梨県南都留郡富士河口湖町船津３６３３－１ 富士観光開発株式会社総務部課長渡辺宛 【事業主・求職者の皆様へ】 労働条件通知書や労働契約書等書面により採用後の労働 条件を必ず確認して下さい。 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,35
住宅・リフォーム営業（提案営業）,提案営業／住宅リフォーム（甲府ショールーム）,カブシキガイシャフレッシュハウス 株式会社フレッシュハウス,山梨,建築リフォーム工事業,〒400-0026 山梨県甲府市塩部４－１－１３ 甲府ショールーム ＪＲ身延線・ＪＲ中央線甲府駅から徒歩20分,277000,344000,True,True,必要な経験・知識・技能等必須 営業経験（業界、年数不問）,普通自動車運転免許必須 （AT限定可）,,,★今後も需要が高まる注目のリフォーム、リノベーション（水廻り ・内装・外装・間取変更・増改築等）マッチングサイト経由でいた だいたお問合せを中心に、１００％反響型の営業スタイルで、お客 様のご自宅を調査し（採寸・使用状況確認）ご要望をふまえて、リ フォーム、リノベーションの提案を行います。お客様一人一人のラ イフスタイルに合わせたプランを作成することができ、地域密着型 でやりがいを得られる仕事です。 ※飛び込み・テレアポ等の新規開拓営業ナシ！リピーターのお客様 多数！ ※対応エリア：甲斐市・甲府市・笛吹市・南アルプス市ほか 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【福利厚生制度】 資格取得支援制度 短時間勤務制度 社用車貸与（自家用車を使用しない場合） マイカー通勤（社内規定による）※ご自宅⇔営業所間のガソリン代 支給 パソコン、携帯貸与 結婚祝金、出産祝金あり 短時間正社員制度※規定あり 借上社宅制度※規定あり 【休暇】 年末年始休暇（５日）夏季休暇（３日）調整休（５日／指定月に付 与）ゆとり休暇（２日／半期毎に取得）慶弔休暇・有給休暇（初年 度１０日）産前・産後休暇・育児休暇・介護休暇 産休・育休を経て復帰する女性多数！男性の育休取得実績もありま す！ 「オンライン自主応募可」※自主応募の際は、紹介状不要です！ より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,41
住宅・リフォーム営業（提案営業）,住宅営業,カブシキガイシャセキヤマケンセツ 株式会社関山建設,山梨,建築工事業（木造建築工事,〒402-0035 山梨県都留市夏狩１７１９ 富士急行線十日市場駅から徒歩10分,250000,350000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,エクセル・ワード基本操作できること,,＊一戸建ての住宅の営業 ・富士東部地域での営業を基本的に行っていただきます。 ・当社の建築中の物件での構造見学会、完成見学会での営業業務 ・見学会来場者への追客をメインに行っていただきます。 ＊応募の際は、ハローワークの紹介状が必要です。 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊応募の際は、ハローワーク紹介状が必要です。 ＊ハローワークからの連絡は、求人管理情報を確認のこと 【事業主・求職者のみなさまへ】 求人票は雇用契約書ではありません。 労働条件通知書や労働契約書等の書面により採用後の労働条件を 必ず確認しましょう。 採否結果は必ず本人へ直接通知しましょう。 より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,42
住宅・リフォーム営業（提案営業）,住宅営業（中巨摩郡昭和町）,カブシキガイシャイチジョウコウムテン 株式会社一条工務店,山梨,一般土木建築工事業,〒409-3800 山梨県中巨摩郡昭和町西条１３０（昭和住宅公園） 【甲府昭和展示場】【甲府昭和南展示場】,267500,267500,False,True,必要な経験・知識・技能等あれば尚可 業界未経験者歓迎 研修制度あり,普通自動車運転免許必須 （AT限定可）,,,モデルハウスへ来場されるお客様に家づくりのアドバイスをするこ とから始まり、地盤調査・プラン作成・資金計画から上棟・お引渡 しまで、全ての窓口を担当します。設計担当・工事担当などの専門 スタッフと協力しながら、お客様のご要望を一つ一つ叶えていきま す。そのお客様のためだけに建てる世界にたった一つの「家」です 。お客様にご満足頂いた時の喜びは、必ずあなたの‘やりがい・自 信’につながっていきます。家族の一員のように一緒になって家の 完成を喜び合える、そんな信頼関係を築き上げてください。 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【ＣＣＵＳ登録事業所】 ＊マイカーでの営業業務となります。通勤・営業業務で使用 したガソリン代は会社負担（上限３５，０００円） ※無料駐車場あり※入社後当面は転勤はありません ＊第２新卒も積極募集中 ＊営業手当は１年間保障し通常勤務の場合続きます。 応募前の職場見学：可 ＊事前に履歴書（写貼）・職務経歴書（パソコンのメールアドレス 記入）・紹介状を郵送願います。 ＊ホームページ（ｈｔｔｐ：／／ｉｃｈｉｊｏ．ｊｐ／） の採用情報をご覧ください。 「応募にはハローワークの紹介状が必要です」 【オンライン自主応募可求人】オンライン自主応募の際は、「自主 応募」ボタンから応募してください。 ◆オンライン自主応募に関することは当事者間で対応してください ◆オンライン自主応募の場合、ハローワーク等の職業紹介を要件と する助成金［特定求職者雇用開発助成金・トライアル雇用助成金・ 雇用保険の再就職手当等］は対象外です！ より労働条件の明示を受けてください。,2026年9月7日求人票（山梨県住宅リフォーム）_2.pdf,44
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム松前店,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒791-3102 愛媛県伊予郡松前町大字北黒田２５９番１ タマホーム松前店,211000,467000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊全国転勤ありの求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,1
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム松前店／エリア限定社員,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒791-3102 愛媛県伊予郡松前町大字北黒田２５９番１ タマホーム松前店,197000,454000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊下記エリア内で転勤の可能性がある求人です。 四国エリア：徳島県、香川県、愛媛県、高知県 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,2
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム松前店／地域限定社員,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒791-3102 愛媛県伊予郡松前町大字北黒田２５９番１ タマホーム松前店,195000,441000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊転居をしない範囲で、転勤の可能性がある求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,3
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム今治店,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒794-0015 愛媛県今治市常盤町８丁目１８６番１ タマホーム今治店,211000,467000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊全国転勤ありの求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,4
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム今治店／エリア限定社員,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒794-0015 愛媛県今治市常盤町８丁目１８６番１ タマホーム今治店,197000,454000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊下記エリア内で転勤の可能性がある求人です。 四国エリア：徳島県、香川県、愛媛県、高知県 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,5
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム今治店／地域限定社員,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒794-0015 愛媛県今治市常盤町８丁目１８６番１ タマホーム今治店,195000,441000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊転居をしない範囲で、転勤の可能性がある求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,6
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム松山店,タマホームカブシキガイシヤ タマホーム株式会社,愛媛,木造建築工事業,〒791-8022 愛媛県松山市美沢１丁目８番３６号 タマホーム松山店,211000,467000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊全国転勤ありの求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目－４０歳・全国社員年収１，０６０万円 入社４年目－３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（愛媛県住宅リフォーム）_1.pdf,7
